Id,day_of_week,avg_total_steps,avg_calories_burned,avg_very_active_mins,avg_fairly_active_mins,avg_lightly_active_mins,avg_sedentary_mins
1644430081,Saturday,13380.5,3355.0,25.25,36.25,254.25,1088.75
8053475328,Saturday,15953.0,3040.0,92.25,10.25,146.25,1088.25
1644430081,Sunday,6233.5,2776.75,8.0,9.25,179.0,1115.5
4558609924,Sunday,7042.0,2162.0,18.25,13.5,281.75,1073.75
1503960366,Sunday,10101.5,1769.0,38.5,17.0,212.75,638.0
8053475328,Sunday,21280.333333333332,3459.6666666666665,121.66666666666667,22.666666666666668,201.66666666666666,1094.0
5577150313,Sunday,13787.666666666666,4496.666666666667,201.33333333333334,58.0,159.33333333333334,483.0
3372868164,Sunday,6002.3333333333339,1707.3333333333333,8.3333333333333339,3.0,262.0,1024.6666666666667
6290855005,Sunday,7822.5,2978.25,9.75,26.750000000000004,254.0,1149.5
3977333714,Sunday,12131.5,1579.5,22.75,77.25,157.25,659.75
1624580081,Sunday,12924.25,1822.0,54.25,25.749999999999996,158.75,1201.25
4702921684,Sunday,13533.0,3406.3333333333335,12.0,95.333333333333329,258.33333333333331,666.0
6775888955,Sunday,2379.0,2146.3333333333335,8.3333333333333339,25.333333333333332,26.666666666666664,1379.6666666666667
8253242879,Sunday,9554.5,2044.0,41.0,4.5,119.5,1275.0
2022484408,Sunday,10605.75,2384.75,22.5,20.75,231.75,1165.0
6775888955,Monday,7384.0,2641.0,31.5,22.0,119.0,1267.5
8877689391,Monday,12356.25,3115.5,53.75,8.0,182.75,1195.5
4702921684,Monday,8437.25,2981.5,8.25,24.25,227.25,874.25
1503960366,Monday,13780.75,1939.25,50.5,14.0,233.0,899.0
3372868164,Monday,6396.5,2012.0,10.0,3.5,379.5,1047.0
3977333714,Monday,13511.75,1645.25,21.5,92.25,168.5,814.5
7086361926,Monday,10884.0,2802.25,65.75,41.5,138.25,830.5
7007744171,Monday,15362.0,2843.0,54.333333333333336,23.0,304.33333333333331,1058.3333333333333
1644430081,Monday,5278.25,2722.75,14.000000000000002,11.75,166.5,1097.25
2347167796,Monday,8864.5,2019.5,13.0,13.5,241.5,665.5
2022484408,Monday,12314.5,2605.5,40.75,16.5,275.5,1107.25
