Id,avg_total_distance
2347167796,6.7276470380670919
8877689391,13.212903138129944
8053475328,12.187930937471055
3977333714,7.7589654593632149
8378563200,6.9135484618525336
7007744171,8.6833333075046522
2873212765,5.1016128601566448
5577150313,6.6571428264890393
7086361926,6.82827585318993
1503960366,8.0699999650319416
6962181067,6.7710000276565578
2320127002,3.6415384274262657
2022484408,8.0841934911666371
2026352035,3.6696551791552836
8253242879,4.9266667167345686
6775888955,3.6541666189829511
1644430081,5.6071428784302331
3372868164,4.707000041007996
4558609924,5.0806451766721654
5553957443,6.3414815178623911
4388161847,8.3932258928975738
4319703577,5.3853571244648526
4057192912,3.8166666825612396
6117666160,6.5034783301146115
4702921684,7.3882758535187838
6290855005,5.16250001390775
1624580081,4.2189285925456455
8583815059,5.8026666164398213
4445114986,3.336666655540466
1844505072,3.1011764792835024
8792009665,2.8089999914169321
1927972279,1.9328571217400703
4020332650,4.6750000238418581
